Range,Azimuth,Polar
  1.5781,  0.0000,  0.0000,256 
  1.6016,  0.0000,  0.2250,256 
  1.5781,  0.0000,  0.4500,256 
  1.5781,  0.0000,  0.6750,256 
  1.5781,  0.0000,  0.9000,256 
  1.5781,  0.0000,  1.1250,256 
  1.5781,  0.0000,  1.3500,256 
  1.5547,  0.0000,  1.5750,256 
  1.5781,  0.0000,  1.8000,256 
  1.5781,  0.0000,  2.0250,256 
  1.5781,  0.0000,  2.2500,256 
  1.5781,  0.0000,  2.4750,256 
  1.5781,  0.0000,  2.7000,256 
  1.5547,  0.0000,  2.9250,256 
  1.5781,  0.0000,  3.1500,256 
  1.5781,  0.0000,  3.3750,256 
  1.5781,  0.0000,  3.6000,256 
  1.5781,  0.0000,  3.8250,256 
  1.5781,  0.0000,  4.0500,256 
  1.6016,  0.0000,  4.2750,256 
  1.6016,  0.0000,  4.5000,256 
  1.5781,  0.0000,  4.7250,256 
  1.5781,  0.0000,  4.9500,256 
  1.5664,  0.0000,  5.1750,256 
  1.5781,  0.0000,  5.4000,256 
  1.5781,  0.0000,  5.6250,256 
  1.5781,  0.0000,  5.8500,256 
  1.6016,  0.0000,  6.0750,256 
  1.5781,  0.0000,  6.3000,256 
  1.5898,  0.0000,  6.5250,256 
  1.5781,  0.0000,  6.7500,256 
  1.5781,  0.0000,  6.9750,256 
  1.5547,  0.0000,  7.2000,256 
  1.5781,  0.0000,  7.4250,256 
  1.5781,  0.0000,  7.6500,256 
  1.5352,  0.0000,  7.8750,256 
  1.3164,  0.0000,  8.1000,256 
  1.2617,  0.0000,  8.3250,256 
  1.2500,  0.0000,  8.5500,256 
  1.2617,  0.0000,  8.7750,256 
  1.2383,  0.0000,  9.0000,256 
  1.2383,  0.0000,  9.2250,256 
  1.2734,  0.0000,  9.4500,256 
  1.2383,  0.0000,  9.6750,256 
  1.2266,  0.0000,  9.9000,256 
  1.2305,  0.0000, 10.1250,256 
  1.2109,  0.0000, 10.3500,256 
  1.1875,  0.0000, 10.5750,256 
  1.1250,  0.0000, 10.8000,256 
  1.1016,  0.0000, 11.0250,256 
  1.0586,  0.0000, 11.2500,256 
  1.0547,  0.0000, 11.4750,256 
  1.0664,  0.0000, 11.7000,256 
  1.0586,  0.0000, 11.9250,256 
  1.0352,  0.0000, 12.1500,256 
  1.0586,  0.0000, 12.3750,256 
  1.0664,  0.0000, 12.6000,256 
  1.0664,  0.0000, 12.8250,256 
  1.0586,  0.0000, 13.0500,256 
  1.0430,  0.0000, 13.2750,256 
  1.0469,  0.0000, 13.5000,256 
  1.0664,  0.0000, 13.7250,256 
  1.0664,  0.0000, 13.9500,256 
  1.0352,  0.0000, 14.1750,256 
  1.0352,  0.0000, 14.4000,256 
  1.0352,  0.0000, 14.6250,256 
  1.0469,  0.0000, 14.8500,256 
  1.0664,  0.0000, 15.0750,256 
  1.0430,  0.0000, 15.3000,256 
  1.0547,  0.0000, 15.5250,256 
  1.0430,  0.0000, 15.7500,256 
  1.0234,  0.0000, 15.9750,256 
  1.0313,  0.0000, 16.2000,256 
  1.0586,  0.0000, 16.4250,256 
  1.0977,  0.0000, 16.6500,256 
  1.0977,  0.0000, 16.8750,256 
  1.0977,  0.0000, 17.1000,256 
  1.0820,  0.0000, 17.3250,256 
  1.0313,  0.0000, 17.5500,256 
  1.0430,  0.0000, 17.7750,256 
  1.0664,  0.0000, 18.0000,256 
  1.0781,  0.0000, 18.2250,256 
  1.0898,  0.0000, 18.4500,256 
  1.1016,  0.0000, 18.6750,256 
  1.0664,  0.0000, 18.9000,256 
  1.0781,  0.0000, 19.1250,256 
  1.0313,  0.0000, 19.3500,256 
  1.0000,  0.0000, 19.5750,256 
  1.0547,  0.0000, 19.8000,256 
  1.0195,  0.0000, 20.0250,256 
  1.0313,  0.0000, 20.2500,256 
  1.0547,  0.0000, 20.4750,256 
  1.0664,  0.0000, 20.7000,256 
  1.0547,  0.0000, 20.9250,256 
  1.0664,  0.0000, 21.1500,256 
  1.0313,  0.0000, 21.3750,256 
  0.9414,  0.0000, 21.6000,256 
  0.9570,  0.0000, 21.8250,256 
  0.9336,  0.0000, 22.0500,256 
  0.8750,  0.0000, 22.2750,256 
  0.8516,  0.0000, 22.5000,256 
  0.8203,  0.0000, 22.7250,256 
  0.8477,  0.0000, 22.9500,256 
  0.8477,  0.0000, 23.1750,256 
  0.8242,  0.0000, 23.4000,256 
