x,y,z,i
0.0,0.0,1.5781,128.0
0.006289452,0.0,1.6015878,128.0
0.012394239,0.0,1.5780513,128.0
0.018591123,0.0,1.5779905,128.0
0.024787715,0.0,1.5779053,128.0
0.03098393,0.0,1.5777957,128.0
0.037179668,0.0,1.5776619,128.0
0.042731665,0.0,1.5541127,128.0
0.049569316,0.0,1.5773212,128.0
0.05576305,0.0,1.5771145,128.0
0.061955918,0.0,1.5768833,128.0
0.06814782,0.0,1.5766279,128.0
0.07433869,0.0,1.5763481,128.0
0.07933433,0.0,1.5526745,128.0
0.08671688,0.0,1.5757155,128.0
0.09290401,0.0,1.5753629,128.0
0.099089704,0.0,1.574986,128.0
0.10527389,0.0,1.5745847,128.0
0.11145645,0.0,1.5741591,128.0
0.119389065,0.0,1.597144,128.0
0.12566009,0.0,1.5966628,128.0
0.12999341,0.0,1.5727369,128.0
0.13616851,0.0,1.5722142,128.0
0.14128621,0.0,1.5600152,128.0
0.14851232,0.0,1.5710963,128.0
0.15468085,0.0,1.570501,128.0
0.16084696,0.0,1.5698814,128.0
0.16949765,0.0,1.5926058,128.0
0.17317171,0.0,1.5685698,128.0
0.18065968,0.0,1.5795019,128.0
0.18548575,0.0,1.5671613,128.0
0.19163853,0.0,1.5664208,128.0
0.19485556,0.0,1.5424408,128.0
0.20393516,0.0,1.5648674,128.0
0.21007876,0.0,1.5640545,128.0
0.21034133,0.0,1.520722,128.0
0.1854824,0.0,1.3032672,128.0
0.18267897,0.0,1.2484052,128.0
0.18584055,0.0,1.2361081,128.0
0.19247817,0.0,1.2469319,128.0
0.1937128,0.0,1.2230544,128.0
0.19851421,0.0,1.2222843,128.0
0.20907551,0.0,1.256119,128.0
0.2081078,0.0,1.2206875,128.0
0.21088824,0.0,1.2083352,128.0
0.21631731,0.0,1.2113369,128.0
0.2175512,0.0,1.1911969,128.0
0.21793291,0.0,1.167331,128.0
0.21080397,0.0,1.1050731,128.0
0.210667,0.0,1.0812688,128.0
0.20652261,0.0,1.0382593,128.0
0.20982239,0.0,1.0336182,128.0
0.21625239,0.0,1.0442433,128.0
0.21873969,0.0,1.0357542,128.0
0.21788037,0.0,1.0120114,128.0
0.22686766,0.0,1.0340043,128.0
0.23262796,0.0,1.0407177,128.0
0.23671305,0.0,1.0397961,128.0
0.23903322,0.0,1.0312599,128.0
0.23949894,0.0,1.0151302,128.0
0.24439396,0.0,1.0179741,128.0
0.25301626,0.0,1.0359497,128.0
0.25708246,0.0,1.0349481,128.0
0.25350428,0.0,1.0036805,128.0
0.25744376,0.0,1.0026773,128.0
0.26137927,0.0,1.0016586,128.0
0.26830938,0.0,1.0119337,128.0
0.27735275,0.0,1.0297011,128.0
0.2752196,0.0,1.0060334,128.0
0.28229973,0.0,1.016218,128.0
0.28311238,0.0,1.0038408,128.0
0.28165796,0.0,0.98387814,128.0
0.28772354,0.0,0.9903508,128.0
0.29932973,0.0,1.0153992,128.0
0.314518,0.0,1.0516766,128.0
0.31864548,0.0,1.0504334,128.0
0.32276806,0.0,1.049174,128.0
0.32221034,0.0,1.0329107,128.0
0.31097606,0.0,0.9832973,128.0
0.31840685,0.0,0.99320996,128.0
0.32953575,0.0,1.0142068,128.0
0.33717513,0.0,1.0240178,128.0
0.3448966,0.0,1.0337845,128.0
0.35273194,0.0,1.0436009,128.0
0.34542555,0.0,1.0089054,128.0
0.35321808,0.0,1.0185953,128.0
0.34170875,0.0,0.97304404,128.0
0.3350405,0.0,0.9422037,128.0
0.35726687,0.0,0.99234694,128.0
0.3491075,0.0,0.9578644,128.0
0.3569505,0.0,0.9675567,128.0
0.36893263,0.0,0.98806924,128.0
0.3769456,0.0,0.9975576,128.0
0.37668142,0.0,0.9851412,128.0
0.38476866,0.0,0.99456626,128.0
0.37587842,0.0,0.9603619,128.0
